    LOCWOP,       Fe1, 3,        N1, 2.027, 0.436,0,1.7194345035746008
    LOCWOP,       Fe1, 3,        N2, 2.189, 0.281,0,1.7194345035746008
    LOCWOP,       Fe1, 3,        N3, 1.735, 0.959,0,1.7194345035746008
    LOCWOP,       Fe1, 3,        N4, 2.028, 0.434,0,1.7194345035746008
    LOCWOP,       Fe1, 3,        N5, 2.025, 0.438,0,1.7194345035746008
    VAHHAP,       Fe1, 3,        N1, 2.101, 0.357,0,1.7194345035746008
    VAHHAP,       Fe1, 3,        N2, 2.001, 0.467,0,1.7194345035746008
    VAHHAP,       Fe1, 3,        N3, 1.988, 0.484,0,1.7194345035746008
    VAHHAP,       Fe1, 3,        N4, 2.077, 0.380,0,1.7194345035746008
    VAHHAP,       Fe1, 3,        N5, 1.989, 0.483,0,1.7194345035746008
    VAHHAP,       Fe1, 3,        N6, 1.732, 0.967,0,1.7194345035746008
    UDENUN,       Fe1, 3,       N11, 1.954, 0.530,0,1.7194345035746008
    UDENUN,       Fe1, 3,        N9, 1.959, 0.523,0,1.7194345035746008
    UDENUN,       Fe1, 3,        N1, 1.959, 0.523,0,1.7194345035746008
    UDENUN,       Fe1, 3,        N3, 1.954, 0.530,0,1.7194345035746008
    UDENUN,       Fe1, 3,        N5, 1.958, 0.525,0,1.7194345035746008
    UDENUN,       Fe1, 3,        N6, 1.962, 0.519,0,1.7194345035746008
    IFOQEA,       Fe1, 3,       N2B, 1.952, 0.533,0,1.7194345035746008
    IFOQEA,       Fe1, 3,       N6B, 1.949, 0.538,0,1.7194345035746008
    IFOQEA,       Fe1, 3,        N2, 1.952, 0.533,0,1.7194345035746008
    IFOQEA,       Fe1, 3,       N4B, 1.946, 0.542,0,1.7194345035746008
    IFOQEA,       Fe1, 3,        N4, 1.946, 0.542,0,1.7194345035746008
    IFOQEA,       Fe1, 3,        N6, 1.949, 0.538,0,1.7194345035746008
    JESPON,       Fe1, 3,        N1, 1.972, 0.505,0,1.7194345035746008
    JESPON,       Fe1, 3,        N2, 1.914, 0.591,0,1.7194345035746008
    JESPON,       Fe1, 3,        N3, 1.963, 0.518,0,1.7194345035746008
    JESPON,       Fe1, 3,        N4, 1.980, 0.494,0,1.7194345035746008
    JESPON,       Fe1, 3,        N5, 1.926, 0.572,0,1.7194345035746008
    JESPON,       Fe1, 3,        N6, 1.962, 0.519,0,1.7194345035746008
    AKAGEY,       Fe1, 3,       N3A, 2.145, 0.317,0,1.7194345035746008
    AKAGEY,       Fe1, 3,       N2A, 2.036, 0.425,0,1.7194345035746008
    AKAGEY,       Fe1, 3,       N1A, 2.027, 0.436,0,1.7194345035746008
    AKAGEY,       Fe1, 3,        N1, 2.027, 0.436,0,1.7194345035746008
    AKAGEY,       Fe1, 3,        N2, 2.036, 0.425,0,1.7194345035746008
    AKAGEY,       Fe1, 3,        N3, 2.145, 0.317,0,1.7194345035746008
    VIPTUJ,       Fe1, 3,       N2C, 1.882, 0.644,0,1.7194345035746008
    VIPTUJ,       Fe1, 3,        N1, 1.888, 0.634,0,1.7194345035746008
    VIPTUJ,       Fe1, 3,        N2, 1.882, 0.644,0,1.7194345035746008
